0,0,0.0
1,989,520.0
2,2368,500.0
3,737,460.0
4,1230,1740.0
5,1776,1720.0
6,525,140.0
7,639,400.0
8,1135,400.0
9,2365,420.0
10,3938,540.0
11,1468,980.0
12,511,340.0
13,3822,1320.0
14,861,1940.0
15,731,420.0
16,1083,1900.0
17,556,340.0
18,1407,480.0
19,1441,400.0
20,658,520.0
21,1005,1830.0
22,444,180.0
23,834,420.0
24,558,400.0
25,865,950.0
26,575,400.0
27,1536,420.0
28,879,300.0
29,1230,240.0
30,1232,140.0
31,1005,460.0
32,700,360.0
33,593,480.0
34,3275,1870.0
35,576,220.0
36,875,480.0
37,523,360.0
38,1019,440.0
39,1071,2010.0
40,1343,1680.0
41,637,140.0
42,3328,1070.0
43,3185,740.0
44,702,580.0
45,1282,1650.0
46,1323,580.0
47,1115,540.0
48,1681,4200.0
49,830,560.0
